product_code,nombre,descripcion
10014,ARITOS GALACTICOS SABOR CEBOLLA X60GR OVNI,ARITOS GALACTICOS SABOR CEBOLLA X60GR OVNI
10115,ANILLO COCO 1X220GRS GAONA,ANILLO COCO 1X220GRS GAONA
10116,ANILLO LIMON 1X220GRS GAONA,GAONA ANILLO LIMON 16X220G
10163,ARMA TU CUMPLE,ARMA TU CUMPLE
10030,BOLDO HURLINGHAM X25 SAQ. S/S,BOLDO HURLINGHAM X25 SAQ. S/S
457,CHIMICHURRI BASILIA 1 X 25GR,CHIMICHURRI BASILIA 1 X 25GR
10114,CHIPS COLORES 1X200GRS GAONA,CHIPS COLORES 1X200GRS GAONA
10113,CHIPS DDL 1X200GRS GAONA,CHIPS DDL 1X200GRS GAONA
299,CITRUS 3 lts. X 6 MANAOS,CITRUS 3 lts. X 6 MANAOS
10140,COLA 1.5 LTS X 6 MANAOS,COLA 1.5 LTS X 6 MANAOS
289,COLA 2.25 lts. X 6 MANAOS,COLA 2.25 lts. X 6 MANAOS
295,COLA 3 lts. X 6 MANAOS,COLA 3 lts. X 6 MANAOS
281,COLA 600ml X 12 MANAOS,COLA 600ml X 12 MANAOS
464,CONITOS GALACTICOS 1X180GR OVNI,CONITOS GALACTICOS 1X180GR OVNI
10053,CRUNCHIPS 1X132GRS GAONA,CRUNCHIPS 1X132GRS GAONA
10051,CRUNCHIPS COLORES 1X132GRS GAONA,CRUNCHIPS COLORES 1X132GRS GAONA
10056,CRUNCHIPS COLORES POCKET 1X72GRS GAONA,CRUNCHIPS COLORES POCKET 1X72GRS GAONA
10054,CRUNCHIPS DARK 1X132GRS GAONA,CRUNCHIPS DARK 1X132GRS GAONA
10049,CRUNCHIPS DDL 1X132GRS GAONA,CRUNCHIPS DDL 1X132GRS GAONA
10048,CRUNCHIPS MINI 1X70GRS GAONA,CRUNCHIPS MINI 1X70GRS GAONA
10055,CRUNCHIPS POCKET 1X72GRS GAONA,GACRUNCHIPS POCKET 1X72GRS GAONA
10075,CUBICUB BON 1X100GRS GAONA,CUBICUB BON 1X100GRS GAONA
10070,CUBICUB FRUTILLA 1X100GRS GAONA,CUBICUB FRUTILLA 1X100GRS GAONA
10071,CUBICUB LEMON PIE 1X100GRS GAONA,CUBICUB LEMON PIE 1X100GRS GAONA
323,F-NANDITO VII DOBLE 1 litro X6,F-NANDITO VII DOBLE 1 litro X6
361,F-NANDITO VII SIMPLE 1 LITRO X6,F-NANDITO VII SIMPLE 1 LITRO X6
395,GRANADINA 3 LTS X6 MANAOS,GRANADINA 3 LTS X6 MANAOS
302,GUARANA 3 lts. X 6 MANAOS,GUARANA 3 lts. X 6 MANAOS
10141,LIMA LIMON 1.5 LTS X 6 MANAOS,LIMA LIMON 1.5 LTS X 6 MANAOS
296,LIMA LIMON 3 LTS. X 6 MANAOS,LIMA LIMON 3 LTS. X 6 MANAOS
375,LIMON 3 LTS. X 6 MANAOS,LIMON 3 LTS. X 6 MANAOS
10095,MAGDALENA BICOLOR 1X200GRS GAONA,MAGDALENA BICOLOR 1X200GRS GAONA
10098,MAGDALENA COCO RELL. DDL 1X215GRS GAONA,MAGDALENA COCO RELL. DDL 1X215GRS GAONA
10101,MAGDALENA LIMON 1X200GRS GAONA,MAGDALENA LIMON 1X200GRS GAONA
10103,MAGDALENA NARANJA C/CHIPS 1X180GRS GAONA,MAGDALENA NARANJA C/CHIPS 1X180GRS GAONA
10102,MAGDALENA RELL. FRUTILLA 1X215GRS GAONA,MAGDALENA RELL. FRUTILLA 1X215GRS GAONA
10040,MANAOS LATA COLA X6 UNIDADES,MANAOS LATA COLA X6 UNIDADES
10041,MANAOS LATA LIMA X6 UNIDADES,MANAOS LATA LIMA X6 UNIDADES
10042,MANAOS LATA NARANJA X6 UNIDADES,MANAOS LATA NARANJA X6 UNIDADES
10043,MANAOS LATA POMELO X6 UNIDADES,MANAOS LATA POMELO X6 UNIDADES
10044,MANAOS LATA TÓNICA X6 UNIDADES,MANAOS LATA TÓNICA X6 UNIDADES
321,MANZANA 1 LITRO PINDAPOY,MANZANA 1 LITRO PINDA POY
311,MANZANA 1.5 lts. X6 PLACER,MANZANA 1.5 lts. X6 PLACER
293,MANZANA 2.25 LTS. X 6 MANAOS,MANZANA 2.25 LTS. X 6 MANAOS
345,MANZANA 200 CC X18 PINDAPOY,MANZANA 200 CC X18 PINDAPOY
300,MANZANA 3 lts. X 6 MANAOS,MANZANA 3 lts. X 6 MANAOS
305,MANZANA 500ml X12 PLACER,MANZANA 500ml X12 PLACER
10031,MANZANILLA HURLINGHAM X25 SAQ. S/S,MANZANILLA HURLINGHAM X25 SAQ. S/S
10119,MASITA COCO 1X220GRS GAONA,MASITA COCO 1X220GRS GAONA
10120,MASITA LIMON 1X220GRS GAONA,MASITA LIMON 1X220GRS GAONA
10032,MEZC. HIERBAS HURLINGHAM X25 SAQ. S/S,MEZC. HIERBAS HURLINGHAM X25 SAQ. S/S
322,MULTIFRUTA 1 LITRO X8 PINDAPOY,MULTIFRUTA 1 litro X8 PINDA POY
314,MULTIFRUTA 1.5 lts. X6 PLACER,MULTIFRUTA 1.5 lts. X6 PLACER
346,MULTIFRUTA 200 CC X18 PINDAPOY,MULTIFRUTA 200 CC X18 PINDAPOY
308,MULTIFRUTA 500ml X12 PLACER,MULTIFRUTA 500ml X12 PLACER
320,NARANJA 1 LITRO X8 PINDAPOY,NARANJA 1 LITRO X8 PINDAPOY
10142,NARANJA 1.5 LTS X 6 MANAOS,NARANJA 1.5 LTS X 6 MANAOS
309,NARANJA 1.5 lts. X6 PLACER,NARANJA 1.5 lts. X6 PLACER
347,NARANJA 200 CC X18 PINDAPOY,NARANJA 200 CC X18 PINDAPOY
297,NARANJA 3 lts. X 6 MANAOS,NARANJA 3 lts. X 6 MANAOS
303,NARANJA 500ml X12 PLACER,NARANJA 500ml X12 PLACER
283,NARANJA 600ml X 12 MANAOS,NARANJA 600ml X 12 MANAOS
10122,PALMERITAS 1X200GRS GAONA,PALMERITAS 1X200GRS GAONA
10125,PEPA 1X180GRS GAONA,PEPA 1X180GRS GAONA
10124,PEPA 1X300GRS GAONA,PEPA 1X300GRS GAONA
10123,PEPA BATATA 1X300GRS GAONA,PEPA BATATA 1X300GRS GAONA
469,PIZZETAS GALÁCTICAS X 100GR OVNI,PIZZETAS GALÁCTICAS5X100GR OVNI
310,POMELO 1.5 lts. X6 PLACER,POMELO 1.5 lts. X6 PLACER
304,POMELO 500ml X12 PLACER,POMELO 500ml X12 PLACER
226,Productos varios,Productos varios
210,QUESITOS GALACTICOS 1X65GR,QUESITOS GALACTICOS 1X65GR
10126,RECREO SURTIDO 1X300 GRS GAONA,RECREO SURTIDO 1X300 GRS GAONA
470,SERRANITOS GALÁCTICOS 1X150GR OVNI,SERRANITOS GALÁCTICOS 1X150GR OVNI
10076,SINFONIA (CLASICA) AGRUPADA 4X50GRS GAONA,SINFONIA (CLASICA) AGRUPADA 4X50GRS GAONA
10093,SINFONIA BLACK 1X100GRS GAONA,SINFONIA BLACK 1X100GRS GAONA
10084,SINFONIA COCO Y DDL 1X100GRS GAONA,SINFONIA COCO Y DDL 1X100GRS GAONA
10094,SINFONIA DDL 1X100GRS GAONA,SINFONIA DDL 1X100GRS GAONA
10081,SINFONIA FRUTILLA 1X100GRS GAONA,SINFONIA FRUTILLA 1X100GRS GAONA
10089,SINFONIA FRUTILLA 1X50GRS GAONA,SINFONIA FRUTILLA 1X50GRS GAONA
10078,SINFONIA LIMON 1X100GRS GAONA,SINFONIA LIMON 1X100GRS GAONA
10090,SINFONIA LIMON 1X50GRS GAONA,SINFONIA LIMON 1X50GRS GAONA
10092,SINFONIA THINS 1X50GRS GAONA,SINFONIA THINS 1X50GRS GAONA
10091,SINFONIA THINS 1X95GRS GAONA,SINFONIA THINS 1X95GRS GAONA
315,SODA SIFON 2 lts. X6 MANAOS,SODA SIFON 2 lts. X6 MANAOS
10161,SURTIDO MANAOS 1.5 LITROS,SURTIDO MANAOS 1.5 LITROS
10045,SURTIDO MANAOS LATA X6 UNIDADES,SURTIDO MANAOS LATA X6 UNIDADES
472,TONICA SIN AZÚCAR MANAOS 2.25 LTS.,TONICA SIN AZÚCAR MANAOS 2.25 LTS.
298,UVA 2.25 LTS. X 6 MANAOS,UVA 2.25 LTS. X 6 MANAOS
10034,VAGONETA GATOS X10KG,VAGONETA GATOS X10KG
10136,VALENCIANO ANILLO LIMON 1X150GRS,VALENCIANO ANILLO LIMON 1X150GRS
10134,VALENCIANO CHIPS 1X150 GRS,VALENCIANO CHIPS 1X150 GRS
10135,VALENCIANO PEPAS 1X150GRS,VALENCIANO PEPAS 1X150GRS
10138,VALENCIANO SURTIDO 1X150GRS,VALENCIANO SURTIDO 1X150GRS
453,PALITOS GALÁCTICO 1X150G OVNI,PALITOS GALÁCTICO SABOR QUESO 1X150G OVNI
